TID;EPC (NOTE: keep EPC the same, sigh)
E2-00-34-12-01-2D-FC-00-03-33-AC-BD-13-13-01-D0-10-05-5F-FB-FF-FF-DC-50;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-2D-FC-00-03-33-8E-0E-05-10-01-D3-10-05-5F-FB-FF-FF-DC-50;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-3D-FC-00-03-33-61-23-05-0A-01-E9-00-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-2E-F6-00-0B-87-4C-1A-19-02-01-D6-30-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-3B-F6-00-0B-87-AB-18-13-03-01-EF-30-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-39-F6-00-0B-87-6E-53-24-1B-01-E3-10-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-2E-FC-00-03-33-85-0B-0F-12-01-D6-10-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-2B-FC-00-03-33-2A-44-12-12-01-D3-00-05-5F-FB-FF-FF-DC-50;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-33-FC-00-03-33-36-CE-01-0F-01-DA-00-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-39-FC-00-03-33-58-62-0D-0A-01-E6-00-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-32-FC-00-03-33-80-8F-11-12-01-D9-00-05-5F-FB-FF-FF-DC-50;C41E3400300833B2DDD901689D214908
E2-00-34-12-01-34-F6-00-0B-87-C3-55-26-02-01-DD-10-05-5F-FB-FF-FF-DC-60;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-55-41-21-28-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-50-DD-21-49-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-55-01-21-28-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-57-13-1E-D0-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-56-D3-1E-D0-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-58-93-1E-D5-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-59-53-1E-D5-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-57-53-1E-D0-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-58-D3-1E-D5-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-57-93-1E-D0-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908
E2-80-11-05-20-00-59-13-1E-D5-08-98-00-00-00-00-00-00-00-00-00-00-00-00;C41E3400300833B2DDD901689D214908

